"agg_uber","agg_yellow"
58007,373297
40266,337945
59811,399426
41925,323673
43659,356173
53521,376077
63357,420942
72994,440862
72098,438237
80625,503934
58723,410150
58967,388950
64743,439952
64710,433513
68191,442167
74162,468310
75338,466333
74493,419160
47002,336868
55852,397634
60356,422146
66803,443429
73336,462890
82561,453057
59349,400002
44289,225616
25945,133208
61597,372597
70414,423770
85539,474494
94416,508710
78560,414039
70162,331154
71500,412242
68211,407735
82312,450672
87528,466592
82711,476319
64300,402725
63285,374152
66174,416525
73719,438699
84715,454886
99855,475398
102313,490932
91292,449005
73644,403079
74196,386168
73462,427919
90240,467334
102726,487254
100448,445473
67803,391365
72460,422965
80487,438734
75961,435464
84804,461925
90168,476276
89683,488128
70814,376969
57435,381214
75028,390377
71909,428377
77408,359925
83091,437799
81435,493876
61792,403860
53893,384906
72155,406613
65283,420824
74013,452244
79235,466916
90918,487922
63401,411125
54800,367556
62854,405490
70358,443227
75812,442240
95234,448809
80685,459450
69307,420095
60475,381348
64377,402511
73925,418354
78522,420427
84937,457568
92489,500248
75620,414749
62760,382808
78868,422067
69202,432083
74044,436268
75957,436732
69167,432340
58332,370085
53530,368837
68063,418860
71999,435575
77493,452040
81412,460038
82500,465529
67695,399187
56625,370146
63369,404763
66503,418979
78778,443685
83808,461745
94154,493166
78077,438091
78041,390757
68688,419051
82097,425437
92081,455496
99638,464842
106236,479957
88630,416999
64747,386766
68841,405120
75908,420787
84305,439189
92282,453987
104933,499113
80263,427625
65418,384086
76166,425973
80415,437840
87328,435377
90680,442189
98301,462245
80107,399427
70278,389255
78404,418013
84903,432001
93599,432156
99715,449396
121500,471561
94266,416227
76375,397265
85328,426214
91030,434048
95107,439248
85724,412728
78294,376576
68291,330990
59701,297001
72787,381286
88624,409426
95029,425427
98146,433893
104378,444135
96903,362147
93456,393825
97551,413489
87167,419284
94975,438043
101874,444476
101689,442909
88829,395458
76853,385220
82424,402751
87369,417814
101950,433014
102982,436324
101106,421577
90804,376021
85828,369186
89121,394834
93665,418904
99796,423035
101646,429838
101605,407523
89234,360836
75377,368916
93118,399361
91340,404777
100021,412706
99460,419321
136133,439241
93062,343444
74399,354486
82585,368861
