Year,Finishtime
1966,201.67
1967,207.28
1968,210
1969,202.76
1970,185.11
1971,188.5
1972,190.43
1973,185.98
1974,167.18
1975,162.4
1976,167.16
1977,168.55
1978,164.86
1979,155.25
1980,154.46
1981,146.76
1982,149.55
1983,142.71
1984,149.46
1985,154.1
1986,144.91
1987,145.35
1988,144.5
1989,144.55
1990,145.4
1991,144.3
1992,143.71
1993,145.45
1994,141.75
1995,145.18
1996,147.2
1997,146.38
1998,143.35
1999,143.41
2000,146.18
2001,143.88
2002,140.71
2003,145.31
2004,144.45
2005,145.2
2006,143.63
2007,149.3
2008,145.41
2009,152.26
2010,146.18
2011,142.6
2012,151.83
2013,146.41
2014,139.98
2015,144.91
2016,149.31
2017,141.86
