Year,Finishtime
1897,175.17
1898,162.00
1899,174.63
1900,159.73
1901,149.38
1902,163.20
1903,161.48
1904,158.07
1905,158.42
1906,165.75
1907,144.40
1908,145.72
1909,173.60
1910,148.87
1911,141.65
1912,141.30
1913,145.23
1914,145.23
1915,151.68
1916,147.27
1917,148.62
1918,149.88
1919,149.22
1920,149.52
1921,138.95
1922,138.17
1923,143.78
1924,149.67
1925,153.00
1926,145.67
1927,160.37
1928,157.12
1929,153.13
1930,154.80
1931,166.75
1932,153.60
1933,151.02
1934,152.88
1935,152.78
1936,153.67
1937,153.33
1938,155.57
1939,148.85
1940,148.47
1941,150.63
1942,146.85
1943,148.42
1944,151.83
1945,150.67
1946,149.45
1947,145.65
1948,151.03
1949,151.83
1950,152.65
1951,147.75
1952,151.88
1953,138.85
1954,140.65
1955,138.37
1956,134.23
1957,140.08
1958,145.90
1959,142.70
1960,140.90
1961,143.65
1962,143.80
1963,138.97
1964,139.98
1965,136.55
1966,137.18
1967,135.75
1968,142.28
1969,133.82
1970,130.50
1971,138.75
1972,135.65
1973,136.05
1974,133.65
1975,129.92
1976,140.32
1977,134.77
1978,130.22
1979,129.45
1980,132.18
1981,129.43
1982,128.87
1983,129.00
1984,130.57
1985,134.08
1986,127.85
1987,131.83
1988,128.72
1989,129.10
1990,128.32
1991,131.10
1992,128.23
1993,129.55
1994,127.25
1995,129.37
1996,129.25
1997,130.57
1998,127.57
1999,129.87
2000,129.78
2001,129.72
2002,129.03
2003,130.18
2004,130.62
2005,131.73
2006,127.23
2007,134.22
2008,127.75
2009,128.70
2010,125.87
2011,123.03
2012,132.67
2013,130.37
2014,129.28
2016,132.75
2017,129.62
