"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263"
26,0,6,2115,0,0,2470,9,5,25,8,264,2558,93,1,10,725,31,4,16,6,21,1,1327,727,12,0,43,15,0,4,5,604,11,9,750,1019,3,12,447,1883,1277,4406,0,1359,1,26,13180,648,5798,5,280,8,42,5,65,0,0,1,9,635,102,11,1,737,318,6,8744,50,158,7,19,4,1918,2607,31,13,18,15885,1375,3,400,165,0,31,0,2912,1260,135,6281,20,52,41,18,203,3,717,5,0,5416,1,25,0,0,0,194,11212,4,0,0,2,1345,5464,5175,1,1070,0,0,49,12,8,0,10,5,1539,22,224,4,781,44,5,7398,70,44,21,55,5877,6406,1,4694,9236,10000,3500,5298,843,619,26,7798,3,5,3285,700,18,2,7,2,43,3982,90,29,11142,9246,9029,10199,25,1821,26,191,44,11710,10,2,87,12,3,0,35,7,761,13,1562,19,4,1,18,9598,1,206,528,70,4,4,209,13,46,95,43,145,0,9,1,83,3,0,5,0,5,8,850,3,3063,16,20,0,20,13,128,5,18,48,1,1,815,1914,324,1162,18,195,7620,11208,6203,1675,4783,8987,45,8306,9266,6788,9388,5,24,23,360,998,1,3971,113,11,7516,14,1,6,0,14,2012,2139,64,25,19,565,2435,4275,8856
38,0,0,1195,0,0,717,3,1,43,1,269,2872,8,0,0,112,0,10,1,3,3,0,972,312,3,0,29,3,0,1,0,275,2,7,28,132,2,4,155,926,406,5380,0,949,0,3,11627,139,3612,0,187,2,11,0,9,0,0,0,12,110,15,2,0,419,130,2,8427,11,64,6,3,1,983,1939,11,0,6,12185,243,0,122,52,0,12,1,2375,1218,44,6296,7,19,38,0,57,0,269,1,0,6651,0,6,0,0,0,48,8546,2,0,0,0,200,5842,5326,0,305,6,1,8,1,2,0,5,1,1667,0,30,0,213,23,1,8219,12,16,5,5,4796,8318,0,5357,8494,10196,3527,4839,344,326,1,4693,2,1,2865,216,2,0,2,1,12,3982,17,6,13229,10268,9908,9169,9,1024,5,85,6,10736,1,0,12,1,0,0,12,4,303,1,426,3,0,0,5,12318,0,45,126,26,8,3,120,14,21,51,9,9,0,3,0,31,1,0,0,0,53,1,647,0,3537,2,3,0,16,21,23,3,22,13,0,0,265,1434,58,632,5,35,6479,12306,5580,695,4705,10157,11,10578,11465,5583,8964,0,3,4,59,215,0,3826,36,0,7438,3,0,4,0,2,559,468,22,3,1,229,2020,4228,6870
24,0,0,1886,0,0,1281,4,0,39,1,179,2531,30,1,1,175,7,3,0,1,4,0,1137,449,5,0,30,5,0,2,0,394,6,7,121,250,0,2,246,1208,553,5416,0,1112,1,3,14127,240,4280,0,235,3,29,0,16,0,0,0,4,172,24,2,1,431,102,5,10579,50,48,8,5,0,1297,2255,16,7,4,19309,476,2,160,67,0,15,0,2503,904,50,7942,4,37,26,1,73,8,411,1,0,7152,1,5,1,0,0,84,10961,0,0,0,1,384,7382,7725,0,327,0,1,15,4,4,0,8,0,1860,3,36,1,280,22,1,8502,35,10,6,4,5736,7388,0,5218,9861,11927,3602,5814,569,918,3,9392,1,1,3272,351,2,3,2,1,21,5955,15,9,12960,10826,10922,9884,10,1256,5,82,7,11971,3,0,16,1,1,0,12,9,379,2,675,4,2,0,5,13104,0,81,193,43,6,7,145,32,165,57,12,21,0,7,0,46,0,0,0,0,7,3,631,3,4155,5,3,1,14,18,46,0,20,5,0,0,393,1722,98,707,7,49,7454,14726,5879,981,5013,12301,8,11303,12673,6247,10299,0,5,3,71,255,1,5184,45,8,10939,4,0,1,1,2,1013,919,13,18,0,270,2154,4556,8323
23,0,1,1437,0,1,1239,3,2,67,4,123,1985,22,2,0,201,3,6,1,2,12,0,1034,409,9,0,36,4,0,2,1,309,7,7,122,268,0,4,208,1128,495,3853,0,855,0,3,11519,234,4180,2,211,3,21,1,25,0,0,0,3,192,25,5,2,382,111,5,8385,24,86,2,8,0,1124,1953,10,3,3,14375,443,0,200,83,0,5,2,1883,621,35,6331,6,30,30,2,70,1,339,2,0,5742,0,5,0,0,0,103,8487,2,0,0,0,307,5428,5812,0,363,0,0,3,3,4,1,1,4,1323,4,45,0,315,36,5,10284,14,15,9,5,4249,10921,1,4136,7665,8616,3239,4792,494,765,6,8045,2,1,2929,330,1,0,1,0,16,4346,23,5,8983,8306,7949,7563,14,1194,3,84,7,8905,5,0,21,0,4,0,13,11,407,1,565,3,0,0,3,11957,0,77,190,24,4,4,137,16,27,60,14,23,0,2,2,36,2,1,0,0,7,2,480,0,2947,4,2,0,14,24,46,3,9,4,0,0,377,1338,63,758,5,44,5819,11784,4661,893,3726,9029,7,8930,9352,5544,8499,3,1,2,85,304,0,4642,38,2,8176,3,0,0,1,2,795,785,25,5,1,268,1415,3757,6607
29,0,1,898,0,0,697,5,2,53,5,211,3164,16,0,0,94,0,8,2,1,41,0,963,336,22,0,37,2,0,1,0,411,7,0,34,123,0,10,210,921,456,4693,0,743,1,2,10679,124,3885,3,245,4,14,0,13,0,0,0,1,93,13,4,0,419,122,3,8383,12,66,2,4,1,1046,2148,6,0,2,8458,187,2,108,47,0,12,0,2556,1286,33,6343,8,34,28,3,57,2,274,1,0,7208,0,3,0,0,0,68,8309,1,0,0,0,185,6269,3956,0,330,0,0,5,1,1,0,5,0,2239,7,26,2,191,30,8,11461,15,17,3,4,4546,11376,1,7607,8993,10025,4107,3817,556,417,2,3110,4,2,2969,275,3,1,1,0,7,3545,10,4,15007,13173,10415,8451,8,1395,4,80,4,11335,5,0,12,2,0,0,9,15,294,2,470,6,1,1,3,11668,1,42,128,13,1,2,114,34,15,37,15,6,0,3,0,22,2,0,1,0,116,2,628,1,3067,3,4,0,25,15,42,2,16,6,1,0,254,1162,50,785,3,36,7312,12299,6444,526,4711,11428,5,15374,15128,6866,9062,0,1,7,59,303,1,4872,33,2,6290,6,0,1,1,3,449,442,20,6,0,239,1489,4771,6357
14,0,1,936,0,0,720,4,0,51,3,85,3357,10,0,1,111,4,1,4,1,12,1,1125,305,13,0,26,3,0,0,1,446,8,0,30,120,3,2,254,971,431,5194,0,788,0,1,11071,116,4059,1,259,2,31,4,14,0,0,0,0,104,16,1,0,390,140,2,8747,17,51,5,0,0,1105,2464,4,1,3,8875,250,1,105,38,0,9,0,2886,1257,36,7018,2,26,30,2,78,2,239,1,0,8013,4,3,0,0,0,70,9343,3,0,0,0,204,6589,4438,0,312,0,0,5,2,7,1,4,2,2414,5,19,2,210,33,4,8747,26,18,5,4,5099,8599,2,8173,9155,10893,4337,3751,563,367,2,3314,3,1,2988,314,3,1,3,0,16,3952,16,6,16880,14952,11158,9197,4,1575,6,59,6,13076,3,0,5,3,0,0,6,10,260,0,452,2,1,0,5,12433,0,36,113,12,7,1,99,18,17,35,11,17,0,3,0,27,0,0,0,0,93,2,639,2,3080,7,4,0,24,17,29,1,16,4,0,1,261,1103,44,688,4,26,7933,14400,7001,613,5530,13016,6,15195,16184,7580,9535,0,2,6,45,308,0,5370,49,1,6799,0,0,1,0,1,451,412,19,6,0,202,1504,4438,6392
19,1,0,1133,3,1,697,4,0,50,5,131,3783,14,0,0,136,2,2,0,2,4,3,1133,409,26,0,29,4,0,0,1,550,12,1,35,129,0,2,327,1148,500,5421,0,871,0,2,12808,147,4433,1,300,1,29,0,11,0,0,0,1,127,15,3,0,420,167,3,10023,15,55,0,0,0,1096,2641,10,0,2,10771,234,2,99,54,0,12,0,3306,1643,32,7846,7,28,38,1,70,0,341,1,0,8847,1,2,0,0,0,94,10677,4,0,0,0,224,7966,5189,0,312,0,0,6,0,4,0,1,6,2833,2,29,1,187,20,2,7828,30,28,23,2,5475,8088,2,9274,10749,11910,4855,4501,576,406,1,4114,2,1,3403,345,3,2,2,1,11,4324,15,7,17510,16549,12427,10586,5,1847,4,82,7,14247,2,0,9,5,0,0,4,9,275,4,649,7,0,0,0,13652,1,58,154,12,5,3,128,11,25,34,12,9,0,2,0,24,2,0,1,2,63,2,661,28,3615,1,3,0,15,12,54,1,29,8,0,1,319,1202,50,774,2,37,8675,15939,8256,714,6084,15163,7,17453,18266,8400,10779,0,1,2,67,318,0,5654,43,3,8028,5,1,4,0,0,539,543,25,2,0,217,1769,5446,7531
21,0,2,1143,0,1,768,9,0,56,0,112,4159,17,2,0,146,0,3,0,2,5,0,1169,438,11,0,28,4,0,1,2,533,7,3,50,124,1,6,338,1097,481,5575,0,770,0,5,13648,142,4226,3,286,7,28,1,10,0,0,0,0,106,23,2,0,502,176,3,11116,9,61,3,2,1,1201,2559,11,1,1,11586,278,2,117,56,0,12,0,3560,1839,48,8257,4,18,24,1,74,1,327,4,0,9049,30,4,1,0,0,108,11365,2,0,0,0,226,8044,5676,0,407,0,0,5,2,2,0,3,2,3015,1,30,2,194,38,4,7474,22,13,6,2,5750,8959,0,8954,11080,12521,4913,4716,591,502,1,4567,4,0,3443,349,5,2,2,0,13,4889,55,6,18243,17368,12907,11207,6,1825,10,56,3,15811,3,0,13,5,0,0,10,9,297,3,522,6,0,1,3,14437,1,50,142,18,7,5,122,34,20,54,4,9,1,4,0,24,0,0,0,0,89,3,746,2,3617,6,2,0,21,24,48,0,20,11,0,1,359,1176,56,778,6,36,9426,16104,9007,779,6969,16051,8,17668,18862,8443,10803,1,1,2,60,358,0,6752,42,4,8695,6,1,1,2,3,596,550,23,6,0,225,1922,5414,7363
20,0,0,1427,0,0,1074,7,2,44,4,130,3871,35,1,1,145,4,3,1,2,15,0,1312,454,10,0,26,7,0,2,0,529,14,2,74,196,0,4,320,1323,624,5819,0,1017,0,4,13574,240,4127,1,355,1,31,2,14,0,0,0,4,123,12,2,1,502,177,2,11338,14,78,7,2,1,1371,2708,3,0,4,13858,348,0,132,66,0,8,2,3621,1584,55,8438,7,21,28,2,86,0,420,2,0,8342,1,1,0,0,0,88,11820,2,0,0,1,366,7994,6634,0,445,1,2,7,4,1,0,6,4,3042,34,33,0,246,43,5,7933,35,22,15,10,6329,8488,0,8327,10873,12245,4426,5174,670,712,3,5987,3,1,3312,389,4,1,0,0,21,5136,66,7,15984,14854,12429,10746,6,1857,8,95,7,15514,2,0,7,7,0,0,15,9,395,5,646,4,0,0,5,13723,0,62,165,19,6,2,160,9,25,45,10,19,0,5,0,28,1,0,1,0,87,3,796,2,3947,3,5,1,24,17,34,1,21,7,1,0,393,1392,66,749,6,63,9509,14731,9111,1028,6963,15332,11,16383,17483,8040,10426,3,7,7,86,417,0,6283,59,3,9794,9,1,2,0,3,799,683,29,8,1,285,1791,5346,7905
16,15,2,2501,0,1,1489,3,2,39,3,171,3269,22,2,1,237,6,2,6,5,10,2,1400,612,6,1,38,2,0,1,1,564,10,4,184,357,2,3,343,1396,563,5789,0,1244,0,2,16664,332,4649,1,324,1,33,4,16,0,0,0,3,320,33,8,1,596,154,5,13540,70,47,7,1,2,1410,2893,14,1,2,25055,646,1,204,61,0,10,0,3330,1060,63,11604,8,39,30,4,94,3,580,0,0,7492,2,5,0,0,0,130,15127,2,1,0,0,614,10151,11136,1,444,0,1,25,2,4,1,3,4,2843,3,54,2,300,19,4,8008,31,18,3,10,7430,5817,0,7021,13243,15686,5340,7798,760,943,5,12315,2,1,4235,425,7,1,3,2,23,7770,28,10,12841,12352,11904,11679,11,1548,3,117,10,15240,2,1,15,3,0,0,16,13,435,2,940,7,0,0,3,14555,0,85,280,40,3,2,169,7,25,47,19,35,0,5,1,52,3,0,0,3,12,1,826,0,5268,3,6,1,24,8,51,0,15,11,0,1,442,2201,92,934,5,59,9958,15905,8820,1464,6095,16656,8,15836,16236,9721,14659,3,6,10,99,339,0,7798,58,5,14978,1,0,2,0,0,1504,1266,28,6,3,287,2207,6630,11359
